GeneID	Tsil	Trepl	Length
XP_003484582.1	375.333333333	1304.66666667	1680
XP_003484583.1	309.333333333	1334.66666667	1644
XP_003484585.1	642.666666667	2309.33333333	2952
XP_003484589.1	163.0	701.0	864
XP_003484595.1	166.333333333	661.666666667	828
XP_003484597.1	375.0	1317.0	1734
XP_003484601.1	148.666666667	538.333333333	687
XP_003484604.1	567.0	2091.0	2658
XP_003484605.1	838.333333333	3034.66666667	3873
XP_003484606.1	94.0	329.0	423
XP_003484608.1	84.6666666667	284.333333333	369
XP_003484609.1	137.333333333	525.666666667	663
XP_003484611.1	224.666666667	882.333333333	1107
XP_003484612.1	356.0	1180.0	1536
XP_003484615.1	209.333333333	810.666666667	1020
XP_003484616.1	144.666666667	518.333333333	663
XP_003484617.1	265.333333333	835.666666667	1101
XP_003484621.1	573.0	2337.0	2910
XP_003484628.1	368.666666667	1416.33333333	1785
XP_003484631.1	147.0	528.0	675
XP_003484632.1	624.0	2502.0	3126
XP_003484633.1	139.333333333	532.666666667	672
XP_003484634.1	1441.33333333	5683.66666667	7125
XP_003484635.1	285.0	1128.0	1413
XP_003484638.1	131.333333333	519.666666667	651
XP_003484642.1	621.333333333	2273.66666667	2895
XP_003484644.1	852.666666667	3140.33333333	3993
XP_003484645.1	475.0	1649.0	2124
XP_003484646.1	411.0	1716.0	2127
XP_003484647.1	207.0	879.0	1086
XP_003484648.1	246.0	939.0	1185
XP_003484651.1	234.0	969.0	1203
XP_003484654.1	386.666666667	1326.33333333	1713
XP_003484658.1	120.333333333	497.666666667	618
XP_003484661.1	121.666666667	454.333333333	576
XP_003484662.2	164.666666667	645.333333333	810
XP_003484663.1	164.666666667	663.333333333	828
XP_003484667.1	269.0	961.0	1230
XP_003484671.1	68.6666666667	267.333333333	336
XP_003484674.1	59.3333333333	216.666666667	276
XP_003484675.1	927.0	3702.0	4629
XP_003484676.1	136.0	605.0	741
XP_003484677.1	174.333333333	590.666666667	765
XP_003484680.1	121.666666667	403.333333333	525
XP_003484682.1	101.666666667	423.333333333	525
XP_003484685.1	132.333333333	605.666666667	738
XP_003484686.1	305.0	1369.0	1674
XP_003484689.1	201.333333333	728.666666667	930
XP_003484691.1	322.0	1349.0	1671
XP_003484693.1	340.0	1304.0	1644
XP_003484696.1	419.666666667	1479.33333333	1899
XP_003484699.1	123.0	465.0	588
XP_003484700.1	320.333333333	1170.66666667	1491
XP_003484701.2	508.666666667	2317.33333333	2826
XP_003484704.1	228.666666667	872.333333333	1101
XP_003484705.1	536.333333333	1941.66666667	2478
XP_003484709.1	169.666666667	679.333333333	849
XP_003484710.2	201.0	762.0	963
XP_003484714.1	306.666666667	1286.33333333	1593
XP_003484716.1	457.666666667	1771.33333333	2229
XP_003484718.1	319.666666667	1150.33333333	1470
XP_003484719.1	655.666666667	2587.33333333	3243
XP_003484720.1	716.0	2653.0	3369
XP_003484721.1	161.666666667	654.333333333	816
XP_003484722.1	117.333333333	467.666666667	585
XP_003484723.1	269.666666667	1011.33333333	1281
XP_003484725.1	171.333333333	719.666666667	891
XP_003484726.1	1616.0	6751.0	8367
XP_003484727.1	309.666666667	1166.33333333	1476
XP_003484728.1	324.0	1191.0	1515
XP_003484729.1	273.333333333	1031.66666667	1305
XP_003484732.1	147.666666667	563.333333333	711
XP_003484733.1	95.0	349.0	444
XP_003484734.1	377.333333333	1410.66666667	1788
XP_003484737.1	355.0	1424.0	1779
XP_003484742.1	709.666666667	2881.33333333	3591
XP_003484743.1	157.666666667	562.333333333	720
XP_003484745.1	166.666666667	703.333333333	870
XP_003484747.1	131.0	451.0	582
XP_003484748.1	85.6666666667	373.333333333	459
XP_003484751.1	192.333333333	740.666666667	933
XP_003484753.1	679.666666667	2611.33333333	3291
XP_003484758.1	306.666666667	1229.33333333	1536
XP_003484760.1	252.0	945.0	1197
XP_003484761.1	153.0	654.0	807
XP_003484762.2	132.333333333	503.666666667	636
XP_003484763.1	104.666666667	405.333333333	510
XP_003484764.2	2893.0	10700.0	13593
XP_003484765.1	64.0	236.0	300
XP_003484766.1	47.6666666667	180.333333333	228
XP_003484767.1	54.6666666667	194.333333333	249
XP_003484768.1	73.6666666667	274.333333333	348
XP_003484771.1	302.333333333	1092.66666667	1395
XP_003484775.1	269.666666667	813.333333333	1083
XP_003484776.1	342.0	1218.0	1560
XP_003484778.1	489.0	2073.0	2562
XP_003484780.1	158.666666667	654.333333333	813
XP_003484783.1	145.0	569.0	714
XP_003484784.1	57.6666666667	200.333333333	258
XP_003484787.1	303.333333333	1196.66666667	1500
XP_003484788.1	106.333333333	469.666666667	576
XP_003484790.1	189.333333333	764.666666667	954
XP_003484792.1	165.0	648.0	813
XP_003484798.1	173.333333333	702.666666667	876
XP_003484799.1	127.0	524.0	651
XP_003484801.1	326.666666667	1125.33333333	1452
XP_003484802.1	73.0	182.0	255
XP_003484804.1	247.0	974.0	1221
XP_003484807.1	152.666666667	567.333333333	720
XP_003484808.1	208.666666667	724.333333333	933
XP_003484810.2	198.0	786.0	984
XP_003484811.1	255.333333333	1049.66666667	1305
XP_003484814.1	256.333333333	946.666666667	1203
XP_003484815.1	445.666666667	1903.33333333	2349
XP_003484816.1	172.0	665.0	837
XP_003484819.1	312.333333333	1094.66666667	1407
XP_003484821.2	106.0	362.0	468
XP_003484825.1	83.6666666667	324.333333333	408
XP_003484828.2	422.666666667	1650.33333333	2073
XP_003484830.1	271.333333333	1012.66666667	1284
XP_003484831.1	253.666666667	979.333333333	1233
XP_003484832.1	138.333333333	548.666666667	687
XP_003484833.2	181.0	707.0	888
XP_003484835.1	378.333333333	1565.66666667	1944
XP_003484836.1	326.0	1162.0	1488
XP_003484837.1	311.666666667	1137.33333333	1449
XP_003484840.1	300.666666667	1124.33333333	1425
XP_003484842.1	173.0	640.0	813
XP_003484843.1	339.0	1200.0	1539
XP_003484847.1	149.0	595.0	744
XP_003484851.1	302.0	1186.0	1488
XP_003484852.1	324.333333333	1202.66666667	1527
XP_003484853.1	239.666666667	891.333333333	1131
XP_003484854.1	137.333333333	594.666666667	732
XP_003484855.1	407.0	1618.0	2025
XP_003484857.1	329.333333333	1350.66666667	1680
XP_003484859.1	90.6666666667	383.333333333	474
XP_003484860.1	90.6666666667	314.333333333	405
XP_003484863.1	126.333333333	461.666666667	588
XP_003484866.2	282.666666667	1148.33333333	1431
XP_003484868.1	103.666666667	382.333333333	486
XP_003484869.1	399.333333333	1298.66666667	1698
XP_003484870.2	89.3333333333	366.666666667	456
XP_003484871.1	333.333333333	1259.66666667	1593
XP_003484873.1	100.333333333	424.666666667	525
XP_003484875.1	490.0	2045.0	2535
XP_003484876.1	539.666666667	2118.33333333	2658
XP_003484879.1	542.0	2254.0	2796
XP_003484881.1	268.666666667	1003.33333333	1272
XP_003484885.2	200.666666667	774.333333333	975
XP_003484886.1	139.333333333	634.666666667	774
XP_003484887.1	858.0	3258.0	4116
XP_003484889.1	183.666666667	674.333333333	858
XP_003484895.1	533.0	2140.0	2673
XP_003484897.1	400.666666667	1585.33333333	1986
XP_003484898.1	444.333333333	1892.66666667	2337
XP_003484900.1	210.666666667	842.333333333	1053
XP_003484904.1	337.0	1394.0	1731
XP_003484905.1	245.333333333	984.666666667	1230
XP_003484906.1	252.333333333	1034.66666667	1287
XP_003484907.1	295.666666667	1057.33333333	1353
XP_003484908.1	463.333333333	1870.66666667	2334
XP_003484909.1	193.0	758.0	951
XP_003484912.1	117.333333333	362.666666667	480
XP_003484917.1	668.0	2605.0	3273
XP_003484919.1	113.0	430.0	543
XP_003484920.1	478.666666667	1675.33333333	2154
XP_003484921.1	256.666666667	970.333333333	1227
XP_003484923.1	310.0	1241.0	1551
XP_003484924.1	439.0	1868.0	2307
XP_003484928.1	557.666666667	2229.33333333	2787
XP_003484930.2	165.0	681.0	846
XP_003484934.1	677.0	2776.0	3453
XP_003484935.1	114.666666667	509.333333333	624
XP_003484936.1	177.0	735.0	912
XP_003484937.2	165.666666667	608.333333333	774
XP_003484938.1	169.0	635.0	804
XP_003484939.1	573.0	2031.0	2604
XP_003484941.1	136.333333333	562.666666667	699
XP_003484942.1	658.666666667	2356.33333333	3015
XP_003484943.1	137.666666667	486.333333333	624
XP_003484945.1	259.666666667	1096.33333333	1356
XP_003484946.1	181.666666667	796.333333333	978
XP_003484947.1	251.666666667	939.333333333	1191
XP_003484948.1	81.6666666667	338.333333333	420
XP_003484950.1	69.0	285.0	354
XP_003484953.1	134.666666667	573.333333333	708
XP_003484954.1	124.333333333	493.666666667	618
XP_003484955.1	459.333333333	1805.66666667	2265
XP_003484956.1	167.333333333	588.666666667	756
XP_003484957.1	86.0	358.0	444
XP_003484959.1	349.666666667	1198.33333333	1548
XP_003484961.1	280.666666667	1168.33333333	1449
XP_003484962.1	123.333333333	440.666666667	564
XP_003484964.1	332.666666667	1257.33333333	1590
XP_003484966.1	112.666666667	334.333333333	447
XP_003484967.1	140.666666667	495.333333333	636
XP_003484969.1	414.0	1641.0	2055
XP_003484970.1	416.0	1441.0	1857
XP_003484976.1	233.333333333	1014.66666667	1248
XP_003484984.1	174.0	606.0	780
XP_003484989.1	269.333333333	1074.66666667	1344
XP_003484991.2	332.0	1225.0	1557
XP_003484993.1	656.0	2200.0	2856
XP_003484994.1	359.666666667	1266.33333333	1626
XP_003484996.1	389.333333333	1593.66666667	1983
XP_003484997.1	207.666666667	779.333333333	987
XP_003484998.1	1469.33333333	6009.66666667	7479
XP_003484999.1	278.0	1045.0	1323
XP_003485003.1	275.333333333	963.666666667	1239
XP_003485004.1	350.0	1345.0	1695
XP_003485005.1	386.333333333	1404.66666667	1791
XP_003485006.1	634.333333333	2365.66666667	3000
XP_003485007.1	2378.0	8974.0	11352
XP_003485011.1	126.333333333	482.666666667	609
XP_003485012.1	340.333333333	1342.66666667	1683
XP_003485013.1	398.333333333	1602.66666667	2001
XP_003485017.1	221.0	802.0	1023
XP_003485018.1	146.666666667	459.333333333	624
XP_003485019.1	331.0	1184.0	1515
XP_003485020.1	334.0	1196.0	1530
XP_003485021.1	73.6666666667	319.333333333	393
XP_003485022.1	164.0	637.0	801
XP_003485023.1	667.333333333	2614.66666667	3282
XP_003485024.2	404.0	1438.0	1884
XP_003485025.2	200.666666667	843.333333333	1044
XP_003485026.1	336.0	1368.0	1704
XP_003485028.1	120.0	447.0	567
XP_003485030.1	134.666666667	534.333333333	669
XP_003485031.1	394.0	1625.0	2019
XP_003485032.1	137.666666667	561.333333333	699
XP_003485033.1	339.666666667	1286.33333333	1626
XP_003485034.1	717.0	2427.0	3144
XP_003485035.1	387.0	1617.0	2004
XP_003485036.1	126.333333333	545.666666667	672
XP_003485041.1	147.0	615.0	762
XP_003485043.1	264.666666667	1085.33333333	1350
XP_003485044.1	312.666666667	1085.33333333	1398
XP_003485049.1	344.0	1207.0	1551
XP_003485050.1	240.0	948.0	1188
XP_003485053.1	279.333333333	974.666666667	1254
XP_003485054.1	135.666666667	557.333333333	693
XP_003485058.1	85.0	305.0	390
XP_003485059.1	582.333333333	2138.66666667	2721
XP_003485060.1	388.0	1580.0	1968
XP_003485061.1	224.333333333	789.666666667	1014
XP_003485065.1	275.666666667	1044.33333333	1320
XP_003485066.2	204.333333333	800.666666667	1005
XP_003485067.1	321.0	1242.0	1563
XP_003485070.1	283.0	1037.0	1320
XP_003485071.1	387.0	1500.0	1887
XP_003485073.1	255.0	1116.0	1371
XP_003485074.1	197.333333333	789.666666667	987
XP_003485076.1	312.333333333	1304.66666667	1617
XP_003485077.1	228.333333333	863.666666667	1092
XP_003485078.1	195.666666667	689.333333333	885
XP_003485079.1	117.666666667	494.333333333	612
XP_003485080.1	128.0	520.0	648
XP_003485082.1	81.0	300.0	381
XP_003485083.1	121.666666667	508.333333333	630
XP_003485084.2	220.666666667	955.333333333	1176
XP_003485086.1	459.666666667	1778.33333333	2238
XP_003485087.1	793.333333333	2926.66666667	3720
XP_003485089.1	618.333333333	2534.66666667	3153
XP_003485090.1	379.0	1460.0	1839
XP_003485091.1	111.333333333	401.666666667	513
XP_003485096.1	508.666666667	2128.33333333	2637
XP_003485099.1	100.333333333	430.666666667	531
XP_003485101.1	232.0	935.0	1167
XP_003485102.1	698.333333333	2949.66666667	3648
XP_003485103.1	550.333333333	1837.66666667	2388
XP_003485104.1	112.0	422.0	534
XP_003485105.1	450.666666667	1925.33333333	2376
XP_003485106.1	65.0	265.0	330
XP_003485109.1	156.333333333	665.666666667	822
XP_003485112.1	73.3333333333	343.666666667	417
XP_003485114.1	121.333333333	463.666666667	585
XP_003485115.1	291.0	1092.0	1383
XP_003485116.1	125.333333333	405.666666667	531
XP_003485118.1	362.0	1405.0	1767
XP_003485120.1	300.333333333	1274.66666667	1575
XP_003485122.1	88.6666666667	322.333333333	411
XP_003485123.1	71.0	325.0	396
XP_003485124.1	302.666666667	1206.33333333	1509
XP_003485125.2	302.666666667	1203.33333333	1506
XP_003485126.1	887.0	3439.0	4326
XP_003485129.1	287.333333333	1086.66666667	1374
XP_003485132.1	109.0	398.0	507
XP_003485133.1	210.666666667	812.333333333	1023
XP_003485135.1	445.333333333	1618.66666667	2064
XP_003485140.1	174.333333333	635.666666667	810
XP_003485146.1	172.0	611.0	783
XP_003485152.1	206.0	859.0	1065
XP_003485153.1	75.6666666667	317.333333333	393
XP_003485156.1	96.3333333333	314.666666667	411
XP_003485158.2	253.0	1013.0	1266
XP_003485159.2	228.0	909.0	1137
XP_003485163.1	392.333333333	1518.66666667	1911
XP_003485165.2	113.666666667	459.333333333	573
XP_003485166.1	129.0	492.0	621
XP_003485167.1	523.333333333	2026.66666667	2550
XP_003485168.1	410.666666667	1659.33333333	2070
XP_003485169.1	528.0	2025.0	2553
XP_003485170.1	537.0	2127.0	2664
XP_003485171.1	382.0	1487.0	1869
XP_003485173.1	278.666666667	1011.33333333	1290
XP_003485174.1	135.0	486.0	621
XP_003485175.1	328.666666667	1354.33333333	1683
XP_003485179.1	176.0	781.0	957
XP_003485181.1	233.0	907.0	1140
XP_003485182.1	696.333333333	2564.66666667	3261
XP_003485183.1	188.333333333	768.666666667	957
XP_003485185.2	527.666666667	1998.33333333	2526
XP_003485188.1	411.666666667	1478.33333333	1890
XP_003485191.1	1006.0	3434.0	4440
XP_003485193.1	143.0	511.0	654
XP_003485194.1	572.0	1942.0	2514
XP_003485197.1	337.333333333	1288.66666667	1626
XP_003485199.1	219.666666667	833.333333333	1053
XP_003485200.1	188.333333333	795.666666667	984
XP_003485206.1	364.0	1493.0	1857
XP_003485207.1	518.0	1891.0	2409
XP_003485208.1	81.3333333333	386.666666667	468
XP_003485212.1	132.0	534.0	666
XP_003485214.1	229.666666667	988.333333333	1218
XP_003485217.1	175.333333333	601.666666667	777
XP_003485218.1	124.333333333	448.666666667	573
XP_003485222.1	553.0	2150.0	2703
XP_003485227.2	456.666666667	1988.33333333	2445
XP_003485233.1	101.0	397.0	498
XP_003485234.1	232.333333333	898.666666667	1131
XP_003485235.1	286.0	1100.0	1386
XP_003485236.1	300.666666667	1190.33333333	1491
XP_003485240.1	173.0	703.0	876
XP_003485242.1	206.0	940.0	1146
XP_003485243.1	171.0	615.0	786
XP_003485246.1	128.333333333	528.666666667	657
XP_003485250.1	219.666666667	899.333333333	1119
XP_003485251.1	162.666666667	647.333333333	810
XP_003485254.1	342.0	1269.0	1611
XP_003485255.1	441.0	1689.0	2130
XP_003485261.1	175.0	671.0	846
XP_003485262.1	333.333333333	1214.66666667	1548
XP_003485263.1	281.0	937.0	1233
XP_003485264.1	495.666666667	1991.33333333	2487
XP_003485265.1	242.666666667	972.333333333	1215
XP_003485268.1	101.333333333	435.666666667	537
XP_003485269.1	79.6666666667	316.333333333	396
XP_003485270.2	295.333333333	1198.66666667	1494
XP_003485274.1	1157.0	4258.0	5415
XP_003485276.1	70.3333333333	268.666666667	339
XP_003485277.1	112.666666667	457.333333333	570
XP_003485278.1	240.666666667	788.333333333	1029
XP_003485283.1	207.333333333	824.666666667	1032
XP_003485284.1	220.666666667	802.333333333	1023
XP_003485285.1	144.0	486.0	630
XP_003485287.1	856.0	3095.0	3951
XP_003485288.2	402.666666667	1514.33333333	1917
XP_003485289.1	165.0	669.0	834
XP_003485290.1	242.333333333	963.666666667	1206
XP_003485291.1	180.333333333	680.666666667	861
XP_003485294.1	723.666666667	2708.33333333	3432
XP_003485295.1	328.333333333	1225.66666667	1554
XP_003485296.1	745.0	2957.0	3702
XP_003485297.1	186.0	759.0	945
XP_003485298.1	551.333333333	2058.66666667	2610
XP_003485300.1	283.0	989.0	1272
XP_003485301.1	369.333333333	1364.66666667	1734
XP_003485304.1	200.666666667	789.333333333	990
XP_003485306.1	505.0	1760.0	2265
XP_003485307.1	144.333333333	584.666666667	729
XP_003485308.1	451.666666667	1732.33333333	2184
XP_003485309.1	351.666666667	1253.33333333	1605
XP_003485310.1	197.666666667	747.333333333	945
XP_003485314.1	443.333333333	1650.66666667	2094
XP_003485315.1	123.333333333	500.666666667	624
XP_003485317.1	2816.33333333	9492.66666667	12309
XP_003485320.1	309.666666667	1103.33333333	1413
XP_003485321.1	546.0	2046.0	2592
XP_003485322.1	812.333333333	3054.66666667	3867
XP_003485323.1	307.666666667	1111.33333333	1419
XP_003485324.2	375.666666667	1427.33333333	1803
XP_003485325.1	463.666666667	1705.33333333	2169
XP_003485328.2	339.0	1278.0	1617
XP_003485339.1	196.0	911.0	1107
XP_003485342.1	137.666666667	570.333333333	708
XP_003485345.2	195.666666667	842.333333333	1038
XP_003485346.1	439.0	1577.0	2016
XP_003485348.1	74.6666666667	300.333333333	375
XP_003485349.1	72.6666666667	215.333333333	288
XP_003485351.1	231.0	948.0	1179
XP_003485355.1	868.333333333	3361.66666667	4230
XP_003485356.1	114.0	438.0	552
XP_003485358.1	72.3333333333	305.666666667	378
XP_003485359.1	510.333333333	1751.66666667	2262
XP_003485360.1	107.0	409.0	516
XP_003485361.1	206.666666667	861.333333333	1068
XP_003485362.1	527.333333333	2040.66666667	2568
XP_003485364.1	357.666666667	1289.33333333	1647
XP_003485366.1	207.333333333	848.666666667	1056
XP_003485367.1	167.666666667	615.333333333	783
XP_003485368.1	487.0	1850.0	2337
XP_003485371.1	475.666666667	1534.33333333	2010
XP_003485372.1	170.666666667	633.333333333	804
XP_003485373.1	100.333333333	403.666666667	504
XP_003485374.1	432.666666667	1571.33333333	2004
XP_003485375.1	414.0	1524.0	1938
XP_003485376.1	128.0	469.0	597
XP_003485377.1	428.0	1627.0	2055
XP_003485378.1	280.666666667	1081.33333333	1362
XP_003485382.1	156.0	591.0	747
XP_003485383.1	82.6666666667	310.333333333	393
XP_003485384.1	1296.0	4821.0	6117
XP_003485386.1	144.666666667	530.333333333	675
XP_003485387.1	165.333333333	641.666666667	807
XP_003485389.2	261.666666667	1019.33333333	1281
XP_003485390.1	92.6666666667	375.333333333	468
XP_003485392.2	470.666666667	1755.33333333	2226
XP_003485398.1	302.666666667	1050.33333333	1353
XP_003485400.1	90.0	378.0	468
XP_003485401.1	158.333333333	585.666666667	744
XP_003485402.1	160.333333333	595.666666667	756
XP_003485403.1	162.666666667	578.333333333	741
XP_003485404.1	170.0	577.0	747
XP_003485406.1	156.333333333	602.666666667	759
XP_003485407.2	411.333333333	1370.66666667	1782
XP_003485408.1	113.0	454.0	567
XP_003485409.1	289.333333333	1051.66666667	1341
XP_003485410.1	121.666666667	463.333333333	585
XP_003485411.1	99.6666666667	341.333333333	441
XP_003485414.1	75.6666666667	338.333333333	414
XP_003485419.2	174.0	573.0	747
XP_003485420.1	145.333333333	535.666666667	681
XP_003485421.1	149.333333333	579.666666667	729
XP_003485422.1	373.666666667	1399.33333333	1773
XP_003485423.1	171.666666667	626.333333333	798
XP_003485425.1	316.333333333	1138.66666667	1455
XP_003485427.1	250.666666667	979.333333333	1230
XP_003485429.2	551.333333333	2148.66666667	2700
XP_003485430.1	276.333333333	878.666666667	1155
XP_003485431.1	635.0	2446.0	3081
XP_003485432.1	187.666666667	784.333333333	972
XP_003485435.1	761.0	2950.0	3711
XP_003485437.1	233.0	1003.0	1236
XP_003485439.1	802.0	2942.0	3744
XP_003485440.1	371.0	1282.0	1653
XP_003485441.1	216.0	801.0	1017
XP_003485443.1	128.333333333	459.666666667	588
XP_003485444.1	96.6666666667	362.333333333	459
XP_003485453.1	469.666666667	1681.33333333	2151
XP_003485454.1	208.333333333	805.666666667	1014
XP_003485457.1	158.666666667	711.333333333	870
XP_003485458.2	1515.0	5949.0	7464
XP_003485463.1	429.333333333	1685.66666667	2115
XP_003485467.1	389.0	1507.0	1896
XP_003485470.1	630.0	2265.0	2895
XP_003485473.1	231.666666667	785.333333333	1017
XP_003485475.1	158.333333333	573.666666667	732
XP_003485476.1	135.666666667	530.333333333	666
XP_003485477.1	121.333333333	505.666666667	627
XP_003485478.1	167.666666667	726.333333333	894
XP_003485479.1	225.666666667	893.333333333	1119
XP_003485483.2	144.0	465.0	612
XP_003485486.2	431.333333333	1518.66666667	1959
XP_003485487.1	498.333333333	1946.66666667	2445
XP_003485491.1	236.666666667	858.333333333	1095
XP_003485492.1	193.666666667	796.333333333	990
XP_003485493.2	496.666666667	2029.33333333	2526
XP_003485495.1	252.333333333	917.666666667	1170
XP_003485496.1	156.0	579.0	735
XP_003485497.1	1446.66666667	5438.33333333	6885
XP_003485499.1	933.333333333	4364.66666667	5298
XP_003485502.2	260.0	1039.0	1299
XP_003485506.1	332.333333333	1233.66666667	1566
XP_003485508.1	114.0	474.0	588
XP_003485509.1	330.666666667	1238.33333333	1569
XP_003485510.1	228.0	801.0	1029
XP_003485511.1	364.0	1397.0	1761
XP_003485513.1	483.0	2076.0	2559
XP_003485516.1	367.0	1589.0	1956
XP_003485519.1	80.0	325.0	405
XP_003485520.1	444.0	1557.0	2001
XP_003485522.1	239.333333333	873.666666667	1113
XP_003485523.1	381.0	1302.0	1683
XP_003485524.1	192.0	774.0	966
XP_003485525.1	797.0	2857.0	3654
XP_003485526.1	908.333333333	3546.66666667	4455
XP_003485527.1	118.0	440.0	558
XP_003485532.1	306.333333333	1232.66666667	1539
XP_003485533.1	708.0	2559.0	3267
XP_003485535.1	89.6666666667	390.333333333	480
XP_003485537.1	395.0	1438.0	1833
XP_003485538.1	164.333333333	597.666666667	762
XP_003485539.1	393.666666667	1445.33333333	1839
XP_003485540.1	510.666666667	2162.33333333	2673
XP_003485546.1	133.0	524.0	657
XP_003485549.1	149.0	628.0	777
XP_003485552.1	210.0	804.0	1014
XP_003485558.1	250.333333333	940.666666667	1191
XP_003485561.1	662.0	2872.0	3534
XP_003485562.1	613.0	2318.0	2931
XP_003485563.2	518.666666667	1995.33333333	2514
XP_003485564.1	176.666666667	723.333333333	900
XP_003485566.2	60.0	270.0	330
XP_003485570.1	216.666666667	875.333333333	1092
XP_003485571.2	239.0	967.0	1206
XP_003485572.2	397.333333333	1351.66666667	1749
XP_003485573.1	46.3333333333	190.666666667	237
XP_003485576.1	541.333333333	2125.66666667	2667
XP_003485578.1	365.666666667	1353.33333333	1719
XP_003485581.1	174.333333333	653.666666667	828
XP_003485583.1	124.333333333	418.666666667	543
XP_003485586.1	348.333333333	1241.66666667	1590
XP_003485588.1	486.333333333	2177.66666667	2664
XP_003485590.1	127.0	434.0	561
XP_003485591.1	331.0	1193.0	1524
XP_003485595.1	336.333333333	1193.66666667	1530
XP_003485596.1	408.0	1293.0	1707
XP_003485597.1	394.0	1469.0	1863
XP_003485599.1	207.333333333	806.666666667	1014
XP_003485600.2	364.0	1568.0	1932
XP_003485601.1	159.0	657.0	816
XP_003485602.1	433.0	1703.0	2136
XP_003485604.1	155.0	682.0	837
