genus	id	trg	og	n	ortho	gamma
Bumblebees	Bimp01513	Hymenoptera	INS000100	2	GB40933	0.785878499
Honey bees	GB40933	Hymenoptera	INS000100	2	Bimp01513	-0.057505422
Bumblebees	Bimp03044	Insecta	INS000102	2	GB49642	1.000934761
Honey bees	GB49642	Insecta	INS000102	2	Bimp03044	0.477747328
Bumblebees	Bimp12926	Insecta	INS000104	2	GB42374	-0.425036471
Honey bees	GB42374	Insecta	INS000104	2	Bimp12926	1.003733655
Bumblebees	Bimp13012	Insecta	INS000106	2	GB40993	0.993803909
Honey bees	GB40993	Insecta	INS000106	2	Bimp13012	0.552258324
Bumblebees	Bimp12680	Insecta	INS000109	2	GB41988	-0.725132361
Honey bees	GB41988	Insecta	INS000109	2	Bimp12680	-0.791997773
Bumblebees	Bimp02471	Insecta	INS000111	2	GB52997	1.336283375
Honey bees	GB52997	Insecta	INS000111	2	Bimp02471	0.554731505
Bumblebees	Bimp08092	Insecta	INS000119	2	GB45972	0.766113073
Honey bees	GB45972	Insecta	INS000119	2	Bimp08092	0.967548636
Bumblebees	Bimp07117	Insecta	INS000121	2	GB45073	0.928526512
Honey bees	GB45073	Insecta	INS000121	2	Bimp07117	0.777978802
Bumblebees	Bimp04945	Insecta	INS000122	2	GB48355	0.033801264
Honey bees	GB48355	Insecta	INS000122	2	Bimp04945	0.114878811
Bumblebees	Bimp03561	Insecta	INS000124	2	GB42489	0.940621677
Honey bees	GB42489	Insecta	INS000124	2	Bimp03561	-0.858074419
Bumblebees	Bimp12369	Insecta	INS000125	2	GB41930	1.491224783
Honey bees	GB49929	Insecta	INS000125	2	Bimp12369	-0.353000686
Bumblebees	Bimp06374	Insecta	INS000129	2	GB40808	0.37360916
Honey bees	GB40808	Insecta	INS000129	2	Bimp06374	-0.218510277
Bumblebees	Bimp08248	Insecta	INS000133	2	GB47470	0.373161662
Honey bees	GB47470	Insecta	INS000133	2	Bimp08248	-0.122578481
Bumblebees	Bimp08462	Insecta	INS000134	2	GB53315	0.718246381
Honey bees	GB53315	Insecta	INS000134	2	Bimp08462	-0.142459164
Bumblebees	Bimp12284	Insecta	INS000135	2	GB41119	0.075685861
Honey bees	GB41119	Insecta	INS000135	2	Bimp12284	0.633343761
Bumblebees	Bimp05488	Insecta	INS000138	2	GB47628	0.294991737
Honey bees	GB47628	Insecta	INS000138	2	Bimp05488	-0.565722596
Bumblebees	Bimp00014	Insecta	INS000139	2	GB50923	-0.378003737
Honey bees	GB50923	Insecta	INS000139	2	Bimp00014	-0.152208406
Bumblebees	Bimp05951	Insecta	INS000142	2	GB43459	0.275499808
Honey bees	GB43459	Insecta	INS000142	2	Bimp05951	0.538013803
Bumblebees	Bimp06149	Insecta	INS000146	2	GB53778	0.232732592
Honey bees	GB53778	Insecta	INS000146	2	Bimp06149	-0.391576611
Bumblebees	Bimp04404	Insecta	INS000151	2	GB53104	1.904261159
Honey bees	GB53104	Insecta	INS000151	2	Bimp04404	4.277980515
Bumblebees	Bimp04095	Insecta	INS000153	2	GB43110	0.129489942
Honey bees	GB43110	Insecta	INS000153	2	Bimp04095	-0.041918878
Bumblebees	Bimp09388	Insecta	INS000156	2	GB46795	0.258109568
Honey bees	GB46795	Insecta	INS000156	2	Bimp09388	-0.206310331
Bumblebees	Bimp04624	Insecta	INS000158	2	GB46736	0.172215467
Honey bees	GB46736	Insecta	INS000158	2	Bimp04624	-0.877747932
Bumblebees	Bimp01564	Insecta	INS000160	2	GB46583	1.342925471
Honey bees	GB46583	Insecta	INS000160	2	Bimp01564	1.153795208
Bumblebees	Bimp13558	Insecta	INS000163	2	GB52613	0.518246258
Honey bees	GB52613	Insecta	INS000163	2	Bimp13558	-0.33696549
Honey bees	GB44485	Insecta	INS000165	2	Bimp12894	1.086225373
Honey bees	GB44484	Insecta	INS000165	2	Bimp12894	0.633925271
Bumblebees	Bimp05705	Insecta	INS000168	2	GB52417	0.023462841
Honey bees	GB52417	Insecta	INS000168	2	Bimp05705	-0.336605224
Bumblebees	Bimp11475	Insecta	INS000170	2	GB51619	0.174141903
Honey bees	GB51619	Insecta	INS000170	2	Bimp11475	0.968135487
Bumblebees	Bimp01351	Insecta	INS000173	2	GB40766	0.394461958
Honey bees	GB40766	Insecta	INS000173	2	Bimp01351	-0.475384334
Bumblebees	Bimp12252	Insecta	INS000179	2	GB45281	0.529218455
Honey bees	GB45281	Insecta	INS000179	2	Bimp12252	-0.932515875
Bumblebees	Bimp10614	Insecta	INS000184	2	GB47688	0.117200974
Honey bees	GB47688	Insecta	INS000184	2	Bimp10614	0.438935178
Bumblebees	Bimp06895	Insecta	INS000190	2	GB49149	0.683553536
Honey bees	GB49149	Insecta	INS000190	2	Bimp06895	0.712017777
Bumblebees	Bimp02042	Insecta	INS000192	2	GB48530	1.188211258
Honey bees	GB48530	Insecta	INS000192	2	Bimp02042	-0.326506186
Bumblebees	Bimp06002	Insecta	INS000194	2	GB48693	1.245352331
Honey bees	GB48693	Insecta	INS000194	2	Bimp06002	0.144665086
Bumblebees	Bimp06795	Insecta	INS000197	2	GB49106	0.298799184
Honey bees	GB49106	Insecta	INS000197	2	Bimp06795	2.259976002
Bumblebees	Bimp02324	Insecta	INS000199	2	GB46321	0.863875504
Honey bees	GB46321	Insecta	INS000199	2	Bimp02324	-0.305099355
Bumblebees	Bimp12238	Insecta	INS000201	2	GB44905	-1.003507387
Honey bees	GB44905	Insecta	INS000201	2	Bimp12238	-0.979634728
Bumblebees	Bimp00270	Insecta	INS000202	2	GB45823	0.369722886
Honey bees	GB45823	Insecta	INS000202	2	Bimp00270	-0.254865461
Bumblebees	Bimp02074	Insecta	INS000205	2	GB41847	-0.819889278
Honey bees	GB41847	Insecta	INS000205	2	Bimp02074	-0.352067223
Bumblebees	Bimp11623	Insecta	INS000207	2	GB55144	0.533163111
Honey bees	GB55144	Insecta	INS000207	2	Bimp11623	-0.104305015
Bumblebees	Bimp03567	Insecta	INS000215	2	GB42495	0.87255771
Honey bees	GB42495	Insecta	INS000215	2	Bimp03567	-0.618490185
Bumblebees	Bimp08385	Insecta	INS000218	2	GB52985	0.424351856
Honey bees	GB52985	Insecta	INS000218	2	Bimp08385	-0.292911036
Bumblebees	Bimp07439	Insecta	INS000219	2	GB50295	0.678359075
Honey bees	GB50295	Insecta	INS000219	2	Bimp07439	0.824547068
Bumblebees	Bimp11634	Insecta	INS000220	2	GB45812	-0.054939591
Honey bees	GB45812	Insecta	INS000220	2	Bimp11634	0.204228216
Bumblebees	Bimp05658	Insecta	INS000222	2	GB43214	1.178535155
Honey bees	GB43214	Insecta	INS000222	2	Bimp05658	3.584945496
Bumblebees	Bimp06914	Insecta	INS000223	2	GB49223	-0.271200612
Honey bees	GB49223	Insecta	INS000223	2	Bimp06914	-0.772267626
Bumblebees	Bimp11177	Insecta	INS000227	2	GB40140	0.68449362
Honey bees	GB40140	Insecta	INS000227	2	Bimp11177	3.975933764
Bumblebees	Bimp09515	Insecta	INS000233	2	GB49872	1.18454639
Honey bees	GB49872	Insecta	INS000233	2	Bimp09515	0.482627358
Bumblebees	Bimp11819	Insecta	INS000236	2	GB49601	0.548872562
Honey bees	GB49601	Insecta	INS000236	2	Bimp11819	0.238338683
Bumblebees	Bimp12817	Insecta	INS000237	2	GB41287	-0.388036057
Honey bees	GB41287	Insecta	INS000237	2	Bimp12817	-0.067068328
Bumblebees	Bimp13943	Insecta	INS000240	2	GB55579	-0.208484359
Honey bees	GB55579	Insecta	INS000240	2	Bimp13943	0.327388632
Bumblebees	Bimp13519	Insecta	INS000244	2	GB50482	0.487934376
Honey bees	GB50482	Insecta	INS000244	2	Bimp13519	1.168335092
Bumblebees	Bimp14084	Insecta	INS000246	2	GB53341	1.94939517
Honey bees	GB53341	Insecta	INS000246	2	Bimp14084	1.386537948
Bumblebees	Bimp08651	Insecta	INS000249	2	GB40348	0.295155733
Honey bees	GB40348	Insecta	INS000249	2	Bimp08651	-0.502225866
Bumblebees	Bimp08406	Insecta	INS000254	2	GB44183	0.841024251
Honey bees	GB44183	Insecta	INS000254	2	Bimp08406	0.33385615
Bumblebees	Bimp12142	Insecta	INS000260	2	GB41196	0.807500999
Honey bees	GB41196	Insecta	INS000260	2	Bimp12142	-0.746623312
Bumblebees	Bimp09813	Insecta	INS000262	2	GB55538	2.301506686
Honey bees	GB55538	Insecta	INS000262	2	Bimp09813	0.178099237
Bumblebees	Bimp07508	Insecta	INS000264	2	GB45717	0.553089671
Honey bees	GB45717	Insecta	INS000264	2	Bimp07508	1.530861942
Bumblebees	Bimp04647	Insecta	INS000275	2	GB42035	0.444635966
Honey bees	GB42035	Insecta	INS000275	2	Bimp04647	-0.252201154
Bumblebees	Bimp07639	Insecta	INS000276	2	GB49171	0.393545447
Honey bees	GB49171	Insecta	INS000276	2	Bimp07639	-0.564364994
Bumblebees	Bimp10268	Insecta	INS000279	2	GB52759	0.91292399
Honey bees	GB52759	Insecta	INS000279	2	Bimp10268	0.394579476
Bumblebees	Bimp00657	Insecta	INS000281	2	GB54030	1.045423767
Honey bees	GB54030	Insecta	INS000281	2	Bimp00657	-0.050507826
Bumblebees	Bimp11969	Insecta	INS000287	2	GB41852	-0.096790924
Honey bees	GB41852	Insecta	INS000287	2	Bimp11969	-0.423443973
Bumblebees	Bimp06264	Insecta	INS000288	2	GB48576	1.058734822
Honey bees	GB48576	Insecta	INS000288	2	Bimp06264	-0.061641484
Bumblebees	Bimp06128	Insecta	INS000290	2	GB47879	0.371749015
Honey bees	GB47879	Insecta	INS000290	2	Bimp06128	0.561048946
Bumblebees	Bimp01056	Insecta	INS000292	2	GB42804	0.101994995
Honey bees	GB42804	Insecta	INS000292	2	Bimp01056	-0.158543242
Bumblebees	Bimp06347	Insecta	INS000294	2	GB42508	1.14019431
Honey bees	GB42508	Insecta	INS000294	2	Bimp06347	0.003441171
Bumblebees	Bimp03308	Insecta	INS000299	2	GB47596	0.277775846
Honey bees	GB47596	Insecta	INS000299	2	Bimp03308	-0.610842757
Bumblebees	Bimp10372	Insecta	INS000301	2	GB53959	-0.234560775
Honey bees	GB53959	Insecta	INS000301	2	Bimp10372	-0.219602454
Bumblebees	Bimp12288	Insecta	INS000303	2	GB52590	1.334243565
Honey bees	GB52590	Insecta	INS000303	2	Bimp12288	1.697564351
Bumblebees	Bimp03844	Insecta	INS000310	2	GB54912	0.758592438
Honey bees	GB54912	Insecta	INS000310	2	Bimp03844	-0.279278254
Bumblebees	Bimp06745	Insecta	INS000319	2	GB50853	-0.492559826
Honey bees	GB50853	Insecta	INS000319	2	Bimp06745	0.139262079
Bumblebees	Bimp00946	Insecta	INS000328	2	GB53701	0.35920809
Honey bees	GB53701	Insecta	INS000328	2	Bimp00946	0.52652562
Bumblebees	Bimp03938	Insecta	INS000342	2	GB46270	0.596474712
Honey bees	GB46270	Insecta	INS000342	2	Bimp03938	-0.589045262
Bumblebees	Bimp07074	Insecta	INS000344	2	GB52537	0.5133992
Honey bees	GB52537	Insecta	INS000344	2	Bimp07074	-0.921449336
Bumblebees	Bimp09872	Insecta	INS000345	2	GB49336	1.479997998
Honey bees	GB49336	Insecta	INS000345	2	Bimp09872	0.232830004
Bumblebees	Bimp02048	Insecta	INS000346	2	GB45774	0.811791295
Honey bees	GB45774	Insecta	INS000346	2	Bimp02048	0.10675714
Bumblebees	Bimp06967	Insecta	INS000351	2	GB51360	-0.070422727
Honey bees	GB51360	Insecta	INS000351	2	Bimp06967	-0.327420247
Bumblebees	Bimp13286	Insecta	INS000352	2	GB53931	0.278538119
Honey bees	GB53931	Insecta	INS000352	2	Bimp13286	1.242863567
Bumblebees	Bimp00545	Insecta	INS000355	2	GB41745	0.529615516
Honey bees	GB41745	Insecta	INS000355	2	Bimp00545	-0.801179298
Bumblebees	Bimp05176	Insecta	INS000363	2	GB44673	0.507730396
Honey bees	GB44673	Insecta	INS000363	2	Bimp05176	0.015456652
Bumblebees	Bimp06991	Insecta	INS000365	2	GB40678	0.541650803
Honey bees	GB40678	Insecta	INS000365	2	Bimp06991	2.185364105
Bumblebees	Bimp13504	Insecta	INS000368	2	GB44650	0.92405926
Honey bees	GB44650	Insecta	INS000368	2	Bimp13504	0.774183521
Bumblebees	Bimp05380	Insecta	INS000369	2	GB48192	0.760149175
Honey bees	GB55755	Insecta	INS000369	2	Bimp05380	0.19682105
Bumblebees	Bimp13928	Insecta	INS000371	2	GB50065	-0.088474457
Honey bees	GB50065	Insecta	INS000371	2	Bimp13928	0.245247833
Bumblebees	Bimp02785	Hymenoptera	INS000374	2	GB55217	0.442052518
Honey bees	GB55217	Hymenoptera	INS000374	2	Bimp02785	0.06750563
Bumblebees	Bimp04296	Insecta	INS000376	2	GB44341	-0.083489306
Honey bees	GB44341	Insecta	INS000376	2	Bimp04296	0.024801546
Bumblebees	Bimp10901	Insecta	INS000377	2	GB54777	2.863485012
Honey bees	GB54777	Insecta	INS000377	2	Bimp10901	0.558901444
Bumblebees	Bimp07020	Insecta	INS000380	2	GB40629	0.725320952
Honey bees	GB40629	Insecta	INS000380	2	Bimp07020	0.037201109
Bumblebees	Bimp02023	Insecta	INS000383	2	GB42740	-0.195063271
Honey bees	GB42740	Insecta	INS000383	2	Bimp02023	-0.517142181
Bumblebees	Bimp13502	Insecta	INS000385	2	GB44648	0.709740969
Honey bees	GB44648	Insecta	INS000385	2	Bimp13502	1.542681189
Bumblebees	Bimp11546	Hymenoptera	INS000387	2	GB41722	0.505522742
Honey bees	GB41722	Hymenoptera	INS000387	2	Bimp11546	0.500268078
Bumblebees	Bimp05904	Insecta	INS000391	2	GB40567	0.763217354
Honey bees	GB40567	Insecta	INS000391	2	Bimp05904	0.850044704
Bumblebees	Bimp09635	Insecta	INS000395	2	GB44595	0.919175389
Honey bees	GB44595	Insecta	INS000395	2	Bimp09635	-0.005785104
Bumblebees	Bimp00181	Insecta	INS000406	2	GB55648	1.829895882
Honey bees	GB55648	Insecta	INS000406	2	Bimp00181	-0.231311441
Bumblebees	Bimp14218	Insecta	INS000407	2	GB51962	0.0276509
Honey bees	GB51962	Insecta	INS000407	2	Bimp14218	-0.584209177
Bumblebees	Bimp06058	Insecta	INS000410	2	GB55490	1.18762
Honey bees	GB55490	Insecta	INS000410	2	Bimp06058	1.135700731
Honey bees	GB52278	Insecta	INS000414	2	Bimp14121	0.46937724
Honey bees	GB44213	Insecta	INS000414	2	Bimp14121	0.196625462
Bumblebees	Bimp04729	Insecta	INS000416	2	GB42728	0.184481371
Honey bees	GB42728	Insecta	INS000416	2	Bimp04729	0.904227735
Bumblebees	Bimp11611	Insecta	INS000417	2	GB48105	0.544926431
Honey bees	GB48105	Insecta	INS000417	2	Bimp11611	0.383719571
Bumblebees	Bimp13066	Insecta	INS000419	2	GB51589	0.138482755
Honey bees	GB51589	Insecta	INS000419	2	Bimp13066	-0.331322847
Bumblebees	Bimp00315	Insecta	INS000422	2	GB55237	0.110236913
Honey bees	GB55237	Insecta	INS000422	2	Bimp00315	1.399002449
Bumblebees	Bimp03833	Insecta	INS000423	2	GB55020	0.472418355
Honey bees	GB55020	Insecta	INS000423	2	Bimp03833	0.181855804
Bumblebees	Bimp06861	Insecta	INS000426	2	GB51912	0.826121093
Honey bees	GB51912	Insecta	INS000426	2	Bimp06861	-0.056930973
Bumblebees	Bimp13993	Insecta	INS000432	2	GB55888	0.001230663
Honey bees	GB55888	Insecta	INS000432	2	Bimp13993	0.298821138
Bumblebees	Bimp07910	Insecta	INS000434	2	GB54538	0.768159206
Honey bees	GB54538	Insecta	INS000434	2	Bimp07910	-0.449220324
Bumblebees	Bimp12431	Insecta	INS000436	2	GB54568	0.650916136
Honey bees	GB54568	Insecta	INS000436	2	Bimp12431	-0.349140415
Bumblebees	Bimp00517	Insecta	INS000438	2	GB42976	-0.052055445
Honey bees	GB42976	Insecta	INS000438	2	Bimp00517	-0.275967909
Bumblebees	Bimp02152	Insecta	INS000441	2	GB43304	-0.44277944
Honey bees	GB43304	Insecta	INS000441	2	Bimp02152	-0.147239185
Bumblebees	Bimp13288	Insecta	INS000445	2	GB51998	0.708646822
Honey bees	GB51998	Insecta	INS000445	2	Bimp13288	-0.684970406
Bumblebees	Bimp06851	Insecta	INS000448	2	GB51897	-0.129559691
Honey bees	GB51897	Insecta	INS000448	2	Bimp06851	0.668741391
Bumblebees	Bimp05571	Insecta	INS000449	2	GB53632	-0.041591288
Honey bees	GB53632	Insecta	INS000449	2	Bimp05571	-0.24158405
Bumblebees	Bimp02099	Insecta	INS000450	2	GB43860	-0.019396518
Honey bees	GB43860	Insecta	INS000450	2	Bimp02099	-0.603121762
Bumblebees	Bimp09855	Insecta	INS000451	2	GB48795	0.260294282
Honey bees	GB48795	Insecta	INS000451	2	Bimp09855	0.309963581
Bumblebees	Bimp03705	Insecta	INS000452	2	GB43158	0.813235056
Honey bees	GB43158	Insecta	INS000452	2	Bimp03705	-1.023052594
Bumblebees	Bimp00454	Insecta	INS000453	2	GB47118	0.211643303
Honey bees	GB47118	Insecta	INS000453	2	Bimp00454	0.783371612
Bumblebees	Bimp10970	Insecta	INS000455	2	GB48234	0.441169538
Honey bees	GB48234	Insecta	INS000455	2	Bimp10970	-0.174758239
Bumblebees	Bimp03972	Insecta	INS000457	2	GB44252	0.025230137
Honey bees	GB44252	Insecta	INS000457	2	Bimp03972	0.009495416
Bumblebees	Bimp13597	Insecta	INS000459	2	GB51207	-0.179849162
Honey bees	GB51207	Insecta	INS000459	2	Bimp13597	-0.443296699
Bumblebees	Bimp03403	Insecta	INS000462	2	GB41215	-0.413845218
Honey bees	GB41215	Insecta	INS000462	2	Bimp03403	0.852864478
Bumblebees	Bimp06742	Insecta	INS000463	2	GB50856	0.46698876
Honey bees	GB50856	Insecta	INS000463	2	Bimp06742	-1.278262814
Bumblebees	Bimp01287	Insecta	INS000464	2	GB42984	1.476378324
Honey bees	GB42984	Insecta	INS000464	2	Bimp01287	0.228577378
Bumblebees	Bimp01904	Insecta	INS000466	2	GB45373	1.033762273
Honey bees	GB45373	Insecta	INS000466	2	Bimp01904	0.50161891
Bumblebees	Bimp05523	Insecta	INS000467	2	GB40823	0.539624519
Honey bees	GB40823	Insecta	INS000467	2	Bimp05523	-0.619226714
Bumblebees	Bimp11805	Insecta	INS000471	2	GB52989	1.417273592
Honey bees	GB52989	Insecta	INS000471	2	Bimp11805	-0.228071755
Bumblebees	Bimp00481	Insecta	INS000472	2	GB46016	1.587253297
Honey bees	GB46016	Insecta	INS000472	2	Bimp00481	-0.315392565
Bumblebees	Bimp05497	Hymenoptera	INS000473	2	GB41366	0.516653326
Honey bees	GB41366	Hymenoptera	INS000473	2	Bimp05497	-0.063620599
Bumblebees	Bimp06407	Insecta	INS000475	2	GB44959	-0.001562933
Honey bees	GB44959	Insecta	INS000475	2	Bimp06407	0.544718637
Bumblebees	Bimp01393	Insecta	INS000478	2	GB46332	0.349787865
Honey bees	GB46332	Insecta	INS000478	2	Bimp01393	-0.165617122
Bumblebees	Bimp01205	Insecta	INS000480	2	GB45101	0.396429962
Honey bees	GB45101	Insecta	INS000480	2	Bimp01205	1.255279799
Bumblebees	Bimp11500	Insecta	INS000481	2	GB41645	1.67105981
Honey bees	GB41645	Insecta	INS000481	2	Bimp11500	-0.094860841
Bumblebees	Bimp00075	Insecta	INS000488	2	GB53388	0.453896447
Honey bees	GB53388	Insecta	INS000488	2	Bimp00075	0.298838523
Bumblebees	Bimp11697	Insecta	INS000494	2	GB49428	0.201412088
Honey bees	GB49428	Insecta	INS000494	2	Bimp11697	-0.286277055
Bumblebees	Bimp13959	Insecta	INS000495	2	GB55417	0.921642618
Honey bees	GB55417	Insecta	INS000495	2	Bimp13959	-0.643704731
Bumblebees	Bimp02311	Insecta	INS000505	2	GB51512	-0.54909163
Honey bees	GB51512	Insecta	INS000505	2	Bimp02311	-0.024426945
Bumblebees	Bimp07030	Insecta	INS000509	2	GB40703	1.104937535
Honey bees	GB40703	Insecta	INS000509	2	Bimp07030	-0.133752849
Bumblebees	Bimp12113	Insecta	INS000512	2	GB48994	0.09221885
Honey bees	GB48994	Insecta	INS000512	2	Bimp12113	-0.466394796
Bumblebees	Bimp02462	Insecta	INS000514	2	GB52993	0.602771791
Honey bees	GB52993	Insecta	INS000514	2	Bimp02462	-0.354631961
Bumblebees	Bimp06623	Insecta	INS000515	2	GB51769	0.439622666
Honey bees	GB55583	Insecta	INS000515	2	Bimp06623	-1.251269905
Bumblebees	Bimp06075	Insecta	INS000516	2	GB55481	0.715150335
Honey bees	GB55481	Insecta	INS000516	2	Bimp06075	0.323097659
Bumblebees	Bimp02221	Insecta	INS000523	2	GB47829	0.117817454
Honey bees	GB47829	Insecta	INS000523	2	Bimp02221	0.193385713
Bumblebees	Bimp06086	Insecta	INS000524	2	GB48789	0.249051403
Honey bees	GB48789	Insecta	INS000524	2	Bimp06086	0.891339954
Bumblebees	Bimp05090	Insecta	INS000528	2	GB52306	-0.021249821
Honey bees	GB52306	Insecta	INS000528	2	Bimp05090	-0.147331639
Bumblebees	Bimp11516	Insecta	INS000539	2	GB41639	0.837986577
Honey bees	GB41639	Insecta	INS000539	2	Bimp11516	0.010616997
Bumblebees	Bimp00553	Insecta	INS000540	2	GB54177	1.521040123
Honey bees	GB54177	Insecta	INS000540	2	Bimp00553	0.680658431
Bumblebees	Bimp10046	Insecta	INS000545	2	GB48204	0.979051987
Honey bees	GB48204	Insecta	INS000545	2	Bimp10046	-0.004806585
Bumblebees	Bimp13459	Insecta	INS000546	2	GB49491	0.342760254
Honey bees	GB49491	Insecta	INS000546	2	Bimp13459	-1.065631576
Bumblebees	Bimp03571	Insecta	INS000547	2	GB42496	0.781168475
Honey bees	GB42496	Insecta	INS000547	2	Bimp03571	0.099771557
Bumblebees	Bimp06253	Insecta	INS000549	2	GB41454	1.247269578
Honey bees	GB41454	Insecta	INS000549	2	Bimp06253	-0.93972117
Bumblebees	Bimp12902	Insecta	INS000551	2	GB47113	0.425942893
Honey bees	GB47113	Insecta	INS000551	2	Bimp12902	-0.782579387
Bumblebees	Bimp01004	Insecta	INS000561	2	GB51191	-0.503592638
Honey bees	GB51191	Insecta	INS000561	2	Bimp01004	0.984455409
Bumblebees	Bimp01131	Insecta	INS000562	2	GB47309	0.367618241
Honey bees	GB47309	Insecta	INS000562	2	Bimp01131	-0.445674975
Bumblebees	Bimp07033	Insecta	INS000571	2	GB40605	0.106159548
Honey bees	GB40605	Insecta	INS000571	2	Bimp07033	-0.163254379
Bumblebees	Bimp05710	Insecta	INS000573	2	GB52472	-0.193414469
Honey bees	GB52472	Insecta	INS000573	2	Bimp05710	-0.943052086
Bumblebees	Bimp12981	Insecta	INS000577	2	GB47429	0.480161577
Honey bees	GB47429	Insecta	INS000577	2	Bimp12981	-0.020071141
Bumblebees	Bimp13978	Insecta	INS000583	2	GB51348	-0.614245122
Honey bees	GB51348	Insecta	INS000583	2	Bimp13978	-0.36579195
Bumblebees	Bimp13647	Insecta	INS000588	2	GB49644	0.02647239
Honey bees	GB49644	Insecta	INS000588	2	Bimp13647	0.304100121
Bumblebees	Bimp00262	Insecta	INS000593	2	GB48161	0.625641991
Honey bees	GB48161	Insecta	INS000593	2	Bimp00262	0.710154954
Bumblebees	Bimp07231	Insecta	INS000597	2	GB41680	0.454307575
Honey bees	GB41680	Insecta	INS000597	2	Bimp07231	-0.183768757
Bumblebees	Bimp04714	Insecta	INS000599	2	GB42716	0.385553079
Honey bees	GB42716	Insecta	INS000599	2	Bimp04714	-0.272836137
Bumblebees	Bimp14091	Insecta	INS000602	2	GB53412	0.973538381
Honey bees	GB53412	Insecta	INS000602	2	Bimp14091	1.437046553
Bumblebees	Bimp01134	Insecta	INS000605	2	GB47308	0.086739389
Honey bees	GB47308	Insecta	INS000605	2	Bimp01134	-1.315700961
Bumblebees	Bimp10058	Insecta	INS000607	2	GB48305	-0.957597767
Honey bees	GB48305	Insecta	INS000607	2	Bimp10058	-0.403819621
