XP	gamma	FW	QG	FQ	WG	FoldChange.FW	FoldChange.QG	FoldChange.FQ	FoldChange.WG
XP_003486956.1	2.656654198	0.025852725	1.02E-05	0.649169335	0.085325545	1.162451962	1.362688369	-1.03774701	1.129613941
XP_003486956.1	2.656654198	0.2759396	1.57E-06	0.370156852	0.004931462	1.162451962	1.362688369	-1.03774701	1.129613941
XP_003486956.1	2.656654198	0.870841413	2.13E-05	0.602358532	0.000197782	1.162451962	1.362688369	-1.03774701	1.129613941
XP_003486956.1	2.656654198	0.452441034	6.70E-06	0.203734065	0.01498893	1.162451962	1.362688369	-1.03774701	1.129613941
XP_003486956.1	2.656654198	0.234161345	1.11E-05	0.139147444	0.089532643	1.162451962	1.362688369	-1.03774701	1.129613941
XP_012245556.1	2.652548352	0.733501539	1.44E-06	0.597993714	9.12E-06	1.01987466	-1.294658515	1.032304336	-1.279069909
XP_003491285.1	2.633810567	0.048817592	0.369775163	0.021232512	0.001260151	-1.047113081	-1.022014358	1.056361829	1.08230406
XP_003491285.1	2.633810567	0.008929018	0.508975732	0.0467885	0.000201417	-1.047113081	-1.022014358	1.056361829	1.08230406
XP_012239396.1	2.618957109	0.133035222	0.423560997	0.222564136	0.057091631	1.126785337	1.068064928	-1.107639123	-1.168535255
XP_012239396.1	2.618957109	0.02887821	0.166227473	0.081990727	0.013202776	1.126785337	1.068064928	-1.107639123	-1.168535255
XP_012247367.1	2.618248537	0.529101114	0.00770634	0.179412382	0.066782908	-1.049662344	1.208600059	-1.106674002	1.146337556
XP_012241224.1	2.608623212	0.00961827	1.31E-13	0.250475483	2.04E-06	1.193798863	1.861372251	-1.088284739	1.432714101
XP_012241224.1	2.608623212	0.574121841	0.002944125	0.598457775	0.097746137	1.193798863	1.861372251	-1.088284739	1.432714101
XP_012240369.1	2.602271765	0.000834652	0.00028724	0.014998359	0.034523047	1.184027799	1.200459826	-1.131187199	-1.115703384
XP_012240369.1	2.602271765	0.000532787	5.45E-05	0.038798776	0.150274514	1.184027799	1.200459826	-1.131187199	-1.115703384
XP_003494784.1	2.589317867	0.366133054	6.59E-09	1.64E-05	0.376816667	1.036026169	1.270644144	-1.183270753	1.036499468
XP_012237314.1	2.584766869	0.601919244	0.091999206	0.007326912	0.683024533	1.025420862	-1.077009311	1.127275439	1.020724263
XP_012237314.1	2.584766869	0.601919244	0.091999206	0.007326912	0.683024533	1.025420862	-1.077009311	1.127275439	1.020724263
XP_012246410.1	2.554164591	0.0730703	0.081366177	0.078775432	1.37E-06	1.093407028	-1.09047369	-1.094285688	-1.304751401
XP_012246410.1	2.554164591	0.190392825	0.087115427	0.036853471	2.60E-06	1.093407028	-1.09047369	-1.094285688	-1.304751401
XP_012246410.1	2.554164591	0.220151513	0.185629921	0.240263563	0.000272645	1.093407028	-1.09047369	-1.094285688	-1.304751401
XP_012236799.1	2.552457009	0.176097772	0.019025867	0.259440163	6.61E-06	-1.073821083	1.128220949	1.064874925	1.290103897
XP_012236799.1	2.552457009	0.346928937	0.399668764	0.149847897	0.001300553	-1.073821083	1.128220949	1.064874925	1.290103897
XP_012236799.1	2.552457009	0.05089405	0.000694214	0.164938373	0.996682038	-1.073821083	1.128220949	1.064874925	1.290103897
XP_012236799.1	2.552457009	0.019786105	0.000936167	0.593813326	0.751029095	-1.073821083	1.128220949	1.064874925	1.290103897
XP_012236799.1	2.552457009	0.000420299	0.000397608	0.29280064	0.272438091	-1.073821083	1.128220949	1.064874925	1.290103897
XP_003493850.1	2.541377239	0.769084722	0.164867398	0.082107223	0.965567298	-1.016774118	1.071689453	-1.092535296	-1.002633098
XP_003493850.1	2.541377239	0.982523076	0.000975667	0.0098932	0.520217706	-1.016774118	1.071689453	-1.092535296	-1.002633098
XP_012242099.1	2.531771849	0.570537974	2.27E-06	0.233149237	0.003335378	-1.051348787	-1.494727438	1.108993978	-1.281994024
XP_012242099.1	2.531771849	0.130229799	9.94E-07	0.881504421	0.00105391	-1.051348787	-1.494727438	1.108993978	-1.281994024
XP_003492359.1	2.511100119	0.000627514	0.001168758	0.889005627	1.78E-08	-1.174035975	1.161978325	-1.008633814	1.35252689
XP_003492359.1	2.511100119	0.03338073	0.467301003	0.759389226	0.096748118	-1.174035975	1.161978325	-1.008633814	1.35252689
XP_012247219.1	2.503425108	0.842903047	0.137706365	0.747611445	0.212055793	-1.020032382	1.136288772	-1.035005988	1.119849891
XP_012247219.1	2.503425108	0.570013538	0.125128748	0.500321007	0.190229437	-1.020032382	1.136288772	-1.035005988	1.119849891
XP_012247940.1	2.501237814	0.03485516	0.068374172	0.003605487	0.001929709	1.167668423	1.143557186	-1.243699811	-1.269922496
XP_012247940.1	2.501237814	0.029568878	0.489094424	0.006229166	7.95E-05	1.167668423	1.143557186	-1.243699811	-1.269922496
XP_012242908.1	2.499278408	0.690574535	1.07E-06	0.173182793	3.00E-09	-1.022292085	1.289097892	1.073487735	1.414679249
XP_003486912.1	2.49607716	0.623690044	0.15038324	0.892818241	0.083111092	-1.042314129	1.117742131	-1.013954936	1.149004137
XP_003486912.1	2.49607716	0.502537326	0.116515201	0.455988212	0.169308391	-1.042314129	1.117742131	-1.013954936	1.149004137
XP_012238889.1	2.4854666	0.396572784	3.21E-05	0.061119791	0.00196542	-1.03933641	1.202369322	-1.086641323	1.150026406
XP_012238889.1	2.4854666	0.396572784	3.21E-05	0.061119791	0.00196542	-1.03933641	1.202369322	-1.086641323	1.150026406
XP_012238889.1	2.4854666	0.613935342	0.669820923	0.077484379	0.006286316	-1.03933641	1.202369322	-1.086641323	1.150026406
XP_012238889.1	2.4854666	0.613935342	0.669820923	0.077484379	0.006286316	-1.03933641	1.202369322	-1.086641323	1.150026406
XP_012238889.1	2.4854666	0.20636552	0.436350468	0.034812431	0.011391633	-1.03933641	1.202369322	-1.086641323	1.150026406
XP_012238889.1	2.4854666	0.20636552	0.436350468	0.034812431	0.011391633	-1.03933641	1.202369322	-1.086641323	1.150026406
XP_012238889.1	2.4854666	0.222904718	0.046847054	0.023701306	0.135563744	-1.03933641	1.202369322	-1.086641323	1.150026406
XP_012238889.1	2.4854666	0.222904718	0.046847054	0.023701306	0.135563744	-1.03933641	1.202369322	-1.086641323	1.150026406
XP_012245517.1	2.43839072	0.015789933	0.002205487	0.5855374	0.991967561	1.179057456	1.233276273	-1.04507327	1.000872294
XP_012245517.1	2.43839072	0.18336842	0.00076895	0.066925474	0.00022798	1.179057456	1.233276273	-1.04507327	1.000872294
XP_003488164.1	2.379255975	0.685433083	0.606179048	0.758170665	0.576507093	-1.037635529	1.046410497	-1.031957416	1.052168135
XP_003487536.1	2.369434351	0.200629154	0.075297352	0.160809882	0.353631629	1.092080104	1.127414339	-1.104595792	-1.069976712
XP_003487536.1	2.369434351	0.027597378	0.667229943	0.079035091	0.000764584	1.092080104	1.127414339	-1.104595792	-1.069976712
XP_003487536.1	2.369434351	0.060983482	0.108058597	0.138613952	0.082993747	1.092080104	1.127414339	-1.104595792	-1.069976712
XP_003487536.1	2.369434351	0.592956155	0.535210757	0.008531636	0.012454061	1.092080104	1.127414339	-1.104595792	-1.069976712
XP_003487536.1	2.369434351	0.005485165	0.203355378	0.968012112	0.000108742	1.092080104	1.127414339	-1.104595792	-1.069976712
XP_003487536.1	2.369434351	0.025803667	0.625884157	0.234631994	0.00015494	1.092080104	1.127414339	-1.104595792	-1.069976712
XP_012247101.1	2.363767697	0.014345438	2.11E-06	0.198980259	0.274018456	1.156150223	1.34408469	-1.084432151	1.072037511
XP_003493239.1	2.35915322	0.053968646	0.928923515	0.801160076	0.039161172	1.215933741	1.010685615	-1.03324913	-1.243079412
XP_003493239.1	2.35915322	0.149899881	0.830369726	0.842669688	0.172295184	1.215933741	1.010685615	-1.03324913	-1.243079412
XP_003494106.1	2.338378599	0.004924022	0.09251871	0.011165237	0.000440473	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_003494106.1	2.338378599	0.004924022	0.09251871	0.011165237	0.000440473	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_003494106.1	2.338378599	0.074251344	0.372336969	0.006412067	0.000556491	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_003494106.1	2.338378599	0.446958997	0.399289948	0.006637529	0.009560796	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_003494106.1	2.338378599	0.446958997	0.399289948	0.006637529	0.009560796	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_003494106.1	2.338378599	0.074251344	0.372336969	0.006412067	0.000556491	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_003494106.1	2.338378599	0.254511653	0.03769344	0.060783697	2.71E-06	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_003494106.1	2.338378599	0.254511653	0.03769344	0.060783697	2.71E-06	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_003494106.1	2.338378599	0.119888779	5.07E-05	0.454889372	0.001095296	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_003494106.1	2.338378599	0.119888779	5.07E-05	0.454889372	0.001095296	1.194484645	1.112279626	-1.176810974	-1.263785298
XP_012241775.1	2.334225644	0.068949823	0.529518586	0.040716222	0.72798066	-1.068803668	1.024768741	-1.079399527	1.014709162
XP_012243413.1	2.328141005	0.001582461	0.059794491	0.070199369	0.002401406	1.186455341	1.106077794	-1.105254625	-1.185572353
XP_012243413.1	2.328141005	0.228941353	0.045822497	0.350146115	0.815101275	1.186455341	1.106077794	-1.105254625	-1.185572353
XP_012243413.1	2.328141005	0.025407035	0.125295488	0.020187733	0.00346653	1.186455341	1.106077794	-1.105254625	-1.185572353
XP_012244107.1	2.318395986	0.835225052	1.15E-05	0.019625264	0.06577189	1.014176873	1.299741238	-1.14708064	1.117247124
XP_003492564.1	2.302798454	0.047162227	0.021027841	0.003260655	0.009875506	1.117469569	1.137180083	-1.182501645	-1.162005582
XP_003492564.1	2.302798454	0.250015362	0.018705784	0.009898453	0.164704704	1.117469569	1.137180083	-1.182501645	-1.162005582
XP_003491897.2	2.289595578	0.313928205	0.001019477	0.718516365	1.07E-05	1.055352535	-1.184822677	-1.02321293	-1.279431194
XP_003491897.2	2.289595578	0.408442615	0.011006517	0.082712332	2.48E-06	1.055352535	-1.184822677	-1.02321293	-1.279431194
XP_003491897.2	2.289595578	0.015957889	0.162286591	0.024763003	0.001758497	1.055352535	-1.184822677	-1.02321293	-1.279431194
XP_003491897.2	2.289595578	0.008445069	0.243869563	0.040046295	0.00075145	1.055352535	-1.184822677	-1.02321293	-1.279431194
