id	ortho	b.gamma	gamma
Bimp03844	GB54912	0.758592438	-0.279278254
Bimp06745	GB50853	-0.492559826	0.139262079
Bimp00946	GB53701	0.35920809	0.52652562
Bimp03938	GB46270	0.596474712	-0.589045262
Bimp07074	GB52537	0.5133992	-0.921449336
Bimp09872	GB49336	1.479997998	0.232830004
Bimp02048	GB45774	0.811791295	0.10675714
Bimp06967	GB51360	-0.070422727	-0.327420247
Bimp13286	GB53931	0.278538119	1.242863567
Bimp00545	GB41745	0.529615516	-0.801179298
Bimp05176	GB44673	0.507730396	0.015456652
Bimp06991	GB40678	0.541650803	2.185364105
Bimp13504	GB44650	0.92405926	0.774183521
Bimp05380	GB48192	0.760149175	#N/A
Bimp13928	GB50065	-0.088474457	0.245247833
Bimp02785	GB55217	0.442052518	0.06750563
Bimp04296	GB44341	-0.083489306	0.024801546
Bimp10901	GB54777	2.863485012	0.558901444
Bimp07020	GB40629	0.725320952	0.037201109
Bimp02023	GB42740	-0.195063271	-0.517142181
Bimp13502	GB44648	0.709740969	1.542681189
Bimp11546	GB41722	0.505522742	0.500268078
Bimp05904	GB40567	0.763217354	0.850044704
Bimp09635	GB44595	0.919175389	-0.005785104
Bimp00181	GB55648	1.829895882	-0.231311441
Bimp14218	GB51962	0.0276509	-0.584209177
Bimp06058	GB55490	1.18762	1.135700731
Bimp04729	GB42728	0.184481371	0.904227735
Bimp11611	GB48105	0.544926431	0.383719571
Bimp13066	GB51589	0.138482755	-0.331322847
Bimp00315	GB55237	0.110236913	1.399002449
Bimp03833	GB55020	0.472418355	0.181855804
Bimp06861	GB51912	0.826121093	-0.056930973
Bimp13993	GB55888	0.001230663	0.298821138
Bimp07910	GB54538	0.768159206	-0.449220324
Bimp12431	GB54568	0.650916136	-0.349140415
Bimp00517	GB42976	-0.052055445	-0.275967909
Bimp02152	GB43304	-0.44277944	-0.147239185
Bimp13288	GB51998	0.708646822	-0.684970406
Bimp06851	GB51897	-0.129559691	0.668741391
Bimp05571	GB53632	-0.041591288	-0.24158405
Bimp02099	GB43860	-0.019396518	-0.603121762
Bimp09855	GB48795	0.260294282	0.309963581
Bimp03705	GB43158	0.813235056	-1.023052594
Bimp00454	GB47118	0.211643303	0.783371612
Bimp10970	GB48234	0.441169538	-0.174758239
Bimp03972	GB44252	0.025230137	0.009495416
Bimp13597	GB51207	-0.179849162	-0.443296699
Bimp03403	GB41215	-0.413845218	0.852864478
Bimp06742	GB50856	0.46698876	-1.278262814
Bimp01287	GB42984	1.476378324	0.228577378
Bimp01904	GB45373	1.033762273	0.50161891
Bimp05523	GB40823	0.539624519	-0.619226714
Bimp11805	GB52989	1.417273592	-0.228071755
Bimp00481	GB46016	1.587253297	-0.315392565
Bimp05497	GB41366	0.516653326	-0.063620599
Bimp06407	GB44959	-0.001562933	0.544718637
Bimp01393	GB46332	0.349787865	-0.165617122
Bimp01205	GB45101	0.396429962	1.255279799
Bimp11500	GB41645	1.67105981	-0.094860841
Bimp00075	GB53388	0.453896447	0.298838523
Bimp11697	GB49428	0.201412088	-0.286277055
Bimp13959	GB55417	0.921642618	-0.643704731
Bimp02311	GB51512	-0.54909163	-0.024426945
Bimp07030	GB40703	1.104937535	-0.133752849
Bimp12113	GB48994	0.09221885	-0.466394796
Bimp02462	GB52993	0.602771791	-0.354631961
Bimp06623	GB51769	0.439622666	#N/A
Bimp06075	GB55481	0.715150335	0.323097659
Bimp02221	GB47829	0.117817454	0.193385713
Bimp06086	GB48789	0.249051403	0.891339954
Bimp05090	GB52306	-0.021249821	-0.147331639
Bimp11516	GB41639	0.837986577	0.010616997
Bimp00553	GB54177	1.521040123	0.680658431
Bimp10046	GB48204	0.979051987	-0.004806585
Bimp13459	GB49491	0.342760254	-1.065631576
Bimp03571	GB42496	0.781168475	0.099771557
Bimp06253	GB41454	1.247269578	-0.93972117
Bimp12902	GB47113	0.425942893	-0.782579387
Bimp01004	GB51191	-0.503592638	0.984455409
Bimp01131	GB47309	0.367618241	-0.445674975
Bimp07033	GB40605	0.106159548	-0.163254379
Bimp05710	GB52472	-0.193414469	-0.943052086
Bimp12981	GB47429	0.480161577	-0.020071141
Bimp13978	GB51348	-0.614245122	-0.36579195
Bimp13647	GB49644	0.02647239	0.304100121
Bimp00262	GB48161	0.625641991	0.710154954
Bimp07231	GB41680	0.454307575	-0.183768757
Bimp04714	GB42716	0.385553079	-0.272836137
Bimp14091	GB53412	0.973538381	1.437046553
Bimp01134	GB47308	0.086739389	-1.315700961
Bimp10058	GB48305	-0.957597767	-0.403819621
Bimp10333	GB42246	0.003758773	0.375498122
Bimp01661	GB52621	0.931033453	-0.326647031
Bimp13115	GB51019	0.768339602	-0.034867109
Bimp13561	GB43718	-0.123483118	0.247748121
Bimp02499	GB50357	0.00399287	-0.197877238
Bimp09227	GB51036	0.198498935	-0.71785116
Bimp03771	GB44899	-0.414497302	-0.652386562
Bimp05717	GB52426	0.920010314	-0.050435674
Bimp13703	GB44285	-0.272996394	-0.372397859
Bimp02923	GB41747	1.490059763	0.013942596
Bimp00924	GB50819	0.218090371	-0.411661703
Bimp08438	GB49541	2.203551878	-0.167191893
Bimp05697	GB43077	0.001683625	0.319672802
Bimp08265	GB47459	0.430590039	-0.90768733
Bimp09535	GB47808	0.391075072	2.738351293
Bimp08315	GB51596	0.608999318	0.341669239
Bimp09697	GB51660	0.548776417	-0.364451871
Bimp05399	GB55847	0.319530413	-0.294122234
Bimp07282	GB53140	0.955865609	-0.410331
Bimp05729	GB51734	1.054900947	0.056455931
Bimp08252	GB47422	0.004581178	0.097679324
Bimp13339	GB50690	0.203155349	0.64355403
Bimp09950	GB48714	1.618088711	#N/A
Bimp07477	GB44416	0.639043849	-0.164168254
Bimp08162	GB42077	0.664498517	0.148202801
Bimp08240	GB47476	1.257085089	-0.267785331
Bimp12606	GB43080	-1.025906409	-0.109673249
Bimp10171	GB41803	0.97654946	-0.274535116
Bimp10595	GB40999	0.231743487	-0.018269246
Bimp01653	GB52650	1.075622689	-0.835495661
Bimp12684	GB50286	0.5933595	-0.642849245
Bimp14198	GB51745	-0.524965916	0.071966262
Bimp10194	GB43556	-0.975067992	-0.477283154
Bimp13930	GB50059	0.391217005	-0.093386986
Bimp12762	GB55591	-0.104165267	1.507454732
Bimp12413	GB53133	0.1674294	-0.898730593
Bimp02290	GB51481	0.299783326	1.272707488
Bimp09131	GB41888	1.379240699	0.836110637
Bimp04733	GB42764	1.079225645	0.927873112
Bimp05748	GB53879	0.208880871	#N/A
Bimp05866	GB51542	-0.130532402	-0.397017619
Bimp03629	GB44305	-0.182823272	0.118021424
Bimp08028	GB45612	0.685646308	2.869327372
Bimp07610	GB51653	0.56417473	1.724676917
Bimp06441	GB54477	1.745671828	0.402633518
Bimp06471	GB42921	-0.184780078	-0.834774629
Bimp04484	GB44127	0.266745369	0.451113314
Bimp01643	GB51041	0.285930145	0.91582631
Bimp05334	GB40452	1.03847655	-0.571673179
Bimp04668	GB42875	1.677254901	-0.392418689
Bimp07637	GB49172	0.568944342	-0.298813794
Bimp05013	GB54288	-0.017339148	-0.783831634
Bimp02103	GB43874	0.485489461	-0.273338915
Bimp13316	GB40206	-0.475791553	0.314867478
Bimp12517	GB54269	0.415432941	-0.409467829
Bimp13636	GB50219	2.717715552	0.62155153
Bimp08497	GB53343	0.427142761	0.466244341
Bimp07925	GB54530	0.416841379	0.102822234
Bimp13010	GB49544	1.855718038	4.971818887
Bimp02527	GB40112	-0.429313164	-0.640704565
Bimp02487	GB53001	0.462855553	-0.311599275
Bimp03338	GB55022	0.475543433	0.091927807
Bimp10375	GB50291	-0.81343532	#N/A
Bimp05969	GB43480	0.444462216	-0.321123711
Bimp09120	GB41909	0.070378333	0.239089796
Bimp03908	GB41177	1.212576063	-0.225596791
Bimp03842	GB54910	-0.503747686	-0.543364725
Bimp01021	GB40859	0.789845565	-0.001107454
Bimp07903	GB54507	1.392036378	3.062368906
Bimp01201	GB45094	-0.010515738	-0.529345293
Bimp12774	GB55461	0.054786708	-1.056539225
Bimp13906	GB44523	0.429444885	-0.02491859
Bimp01740	GB41052	0.17965433	6.79338012
Bimp04924	GB51159	0.425882627	0.109335651
Bimp02237	GB41333	0.580133913	0.356979581
Bimp04446	GB44193	1.43907847	1.345031883
Bimp05596	GB43497	0.388731908	0.296842158
Bimp12412	GB53134	0.751378652	-0.140707979
Bimp01175	GB47271	-0.40705066	-0.809148961
Bimp06044	GB55495	0.340259937	-0.041487716
Bimp04079	GB45001	1.754198855	0.73051536
Bimp02621	GB53611	3.330381709	-0.015442261
Bimp06310	GB52189	0.269993244	-0.443999209
Bimp00413	GB50113	0.23667911	0.192200433
Bimp01803	GB53852	0.806239961	-0.035308738
Bimp08720	GB51246	2.252378281	-0.019259799
Bimp06552	GB50170	-0.027184609	0.763429049
Bimp09808	GB55540	0.494460151	0.057162173
Bimp06218	GB41891	0.041516847	-0.47495994
Bimp00610	GB52779	0.690946816	0.986809813
Bimp12439	GB40880	0.3270169	-0.322063809
Bimp03620	GB44359	0.248916057	-0.109272974
Bimp12422	GB40893	0.926054003	-0.182394361
Bimp09141	GB41883	-0.271302702	-0.374760556
Bimp13706	GB43954	1.503126155	0.335731842
Bimp02920	GB46613	-0.04831771	-0.082118397
Bimp00168	GB55658	0.594240087	-0.136973892
Bimp09006	GB50538	0.557134648	0.562292824
Bimp08000	GB54798	0.152687078	-0.089352359
Bimp08684	GB42296	0.921181121	0.340560943
Bimp02161	GB55820	-0.172251912	0.617576802
Bimp08776	GB55904	-0.072513634	-0.561734168
Bimp12758	GB55574	1.685011995	0.854629362
Bimp07609	GB40350	0.400778514	0.343820003
Bimp13710	GB43042	0.016245338	#N/A
Bimp12620	GB48932	1.036647745	-0.276619629
Bimp06247	GB41449	0.044441997	-0.47170365
Bimp11618	GB45881	-0.552815432	0.086723594
Bimp05265	GB43839	0.032047061	0.234121479
Bimp13183	GB51692	0.265254646	-0.542300212
Bimp01550	GB52346	1.383119861	-0.522479111
Bimp13720	GB45278	2.653380826	0.680740399
Bimp10208	GB43562	1.522003682	0.18091855
Bimp12723	GB45212	1.385177393	0.212466446
Bimp07219	GB43743	0.571130261	-0.384913317
Bimp05532	GB55002	0.594340629	-0.580569844
Bimp02748	GB50204	-0.218597812	0.29815492
Bimp03032	GB45114	0.729488011	1.979754573
Bimp05373	GB55764	0.881237464	1.109456619
Bimp07787	GB46478	-1.062693172	-0.732805234
Bimp05418	GB43039	1.014621302	#N/A
Bimp05470	GB47568	0.509067171	0.168612327
Bimp02332	GB47351	0.273091226	0.225088416
Bimp05744	GB54995	0.238570159	-0.675812942
Bimp11009	GB50660	-0.3600104	-0.960198539
Bimp06854	GB51895	1.036607399	-0.822018502
Bimp09980	GB52106	0.295310371	-0.42087606
Bimp12885	GB45724	0.881325647	0.427290517
Bimp09830	GB46713	0.201189034	0.134198824
Bimp08922	GB46689	-0.09751252	-0.166522234
Bimp01179	GB47243	0.682012137	0.492027323
Bimp13513	GB47277	-0.067026064	-0.305178956
Bimp04154	GB54593	0.203326286	-0.098812157
Bimp05665	GB43217	0.747599383	0.304497933
Bimp11164	GB42739	-0.057334296	-0.91232616
Bimp12313	GB51399	-0.304666006	-0.667326761
Bimp04790	GB52453	1.597959632	0.226135903
Bimp12329	GB50370	0.859863137	-0.89076431
Bimp04736	GB42735	1.334290911	0.201516973
Bimp06747	GB50852	-0.304714859	-0.693673736
Bimp07821	GB44753	0.056197148	0.207329568
Bimp05353	GB54805	0.742399256	-0.06636037
Bimp05444	GB46140	1.285466406	1.543322388
Bimp12287	GB52589	1.540770649	0.574309076
Bimp12972	GB45512	-0.066059945	3.789060073
Bimp14049	GB45967	-0.200978904	0.091843164
Bimp00022	GB52661	-1.384746299	-0.020097027
Bimp04020	GB41122	-0.042590916	0.080295402
Bimp09362	GB48639	0.362067359	0.102387114
Bimp02313	GB51511	0.50733924	0.271952626
Bimp13060	GB44210	1.186864643	0.426426102
Bimp08990	GB45905	0.790235749	-0.007299055
Bimp00317	GB55142	-0.024400722	0.344126483
Bimp12964	GB42021	-0.19714567	-0.394315549
Bimp00877	GB48919	0.093958341	0.421790362
Bimp10363	GB53937	0.95101095	1.314968387
Bimp12865	GB52947	1.08585516	1.584519098
Bimp06802	GB49111	0.479461291	-0.318923808
Bimp06934	GB40361	-0.037688671	-0.481127695
Bimp03745	GB44884	0.120663581	-0.201730902
Bimp08677	GB53979	1.97456136	0.879225294
Bimp11816	GB50345	0.263125655	-0.313752639
Bimp13743	GB51401	1.335486836	-0.024974332
Bimp08865	GB41347	1.15554963	-0.363019779
Bimp00274	GB45821	0.324279426	0.216219118
Bimp00228	GB48117	0.180234012	0.811219928
Bimp11728	GB54198	0.134536399	0.438507691
Bimp04246	GB50969	-0.209315385	-0.702737031
Bimp12395	GB44067	0.058835974	0.614983847
Bimp12598	GB43238	1.890653577	0.531838508
Bimp07749	GB46599	0.324122535	0.051239134
Bimp13541	GB42647	1.163364116	0.173411862
Bimp07887	GB45803	0.020063598	#N/A
Bimp14222	GB52014	-0.499050852	0.938935938
Bimp10735	GB52436	0.48346273	-0.47218534
Bimp11332	GB55641	-0.318544813	-0.557338104
Bimp13232	GB48853	-0.370087611	-0.15834612
Bimp09038	GB51715	0.667816723	-0.123366549
Bimp04453	GB44155	-0.324945333	0.780580113
Bimp03256	GB50525	0.107647169	1.148189341
Bimp11731	GB54144	0.408087501	0.380096151
Bimp00977	GB53725	0.108322972	-0.111749619
Bimp10839	GB49859	1.002666975	-0.015563406
Bimp04948	GB48426	1.284489926	0.952935914
Bimp05333	GB40440	-0.614907891	-0.767826268
Bimp10832	GB40282	0.010837331	-0.189297394
Bimp02160	GB55822	0.505210595	1.660565102
Bimp12049	GB51772	0.319209313	2.083851994
Bimp00986	GB53060	0.961308016	#N/A
Bimp14037	GB48061	0.092514465	-0.573367927
Bimp00631	GB42098	1.507691016	#N/A
Bimp13942	GB55578	0.357296223	0.128525627
Bimp00538	GB43787	1.880733927	9.759235111
Bimp09356	GB42014	0.505013736	-0.182225341
Bimp07696	GB53531	0.479628235	0.874754765
Bimp05635	GB45229	1.172250263	0.64774325
Bimp13618	GB49388	0.413304246	-0.140176022
Bimp13986	GB52555	-0.005838159	0.448451719
Bimp04730	GB42731	0.707547903	0.55544435
Bimp14048	GB45968	2.175176785	1.025615086
Bimp10043	GB45690	0.146904254	-0.221058286
Bimp08054	GB54365	0.57473566	0.64446707
Bimp13077	GB42683	0.31145067	-0.202402144
Bimp08986	GB50743	0.99785762	-0.707847416
Bimp10062	GB51775	-0.388289955	0.438584381
Bimp00349	GB49438	0.087135126	0.24923706
Bimp03480	GB43978	-0.059304576	0.06054952
Bimp03943	GB46242	0.65286638	-0.066974618
Bimp05390	GB55751	0.115028375	0.628144506
Bimp01718	GB43730	0.177713626	-1.287953442
Bimp04648	GB42066	0.511991263	-0.134121358
Bimp03796	GB44912	1.307005372	0.550685787
Bimp00543	GB41744	-0.311965002	-0.237789106
Bimp08942	GB44590	0.240445745	0.357713242
Bimp01174	GB47231	0.608279214	-0.098114427
Bimp03758	GB45266	0.975211135	-0.648241158
Bimp09349	GB42016	-0.115334949	-1.02533635
Bimp08239	GB47414	-0.543794308	-0.39019414
Bimp06638	GB55426	-0.1040555	-0.314920927
Bimp11732	GB54143	0.424156532	0.048426998
Bimp12465	GB42869	1.379364016	1.469182212
Bimp09771	GB51111	0.73360494	0.881989616
Bimp01917	GB45389	0.433428506	0.192528108
Bimp11014	GB50653	0.47148744	1.208971314
Bimp13317	GB52916	0.83058847	-0.011497659
Bimp12530	GB44433	0.158670416	-0.372646813
Bimp12006	GB53865	1.377152197	1.474672906
Bimp05642	GB44933	0.186351869	0.138641145
Bimp03839	GB54909	0.006969947	0.022198876
Bimp00484	GB46019	1.832263797	-0.006957154
Bimp09941	GB54425	0.121040439	-0.201234742
Bimp08708	GB50619	-0.207125999	0.091791907
Bimp08025	GB54378	-0.245105688	0.039358354
Bimp12467	GB42866	0.259836109	0.286490484
Bimp13398	GB47339	-0.057686097	-0.676438742
Bimp13225	GB54389	0.995910408	0.121537699
Bimp00450	GB50593	-0.273569952	0.171738801
Bimp12767	GB55627	1.671961375	0.938342437
Bimp09637	GB44594	0.464917717	-0.178222394
Bimp13439	GB48158	0.206604416	-0.742863242
Bimp01844	GB50635	1.087884594	-0.712150021
Bimp12824	GB52541	0.958800533	-0.420663562
Bimp04172	GB54609	0.890974418	-0.451362468
Bimp13727	GB55008	1.636474078	-0.573027421
Bimp05058	GB48375	-0.039621846	-0.63101834
Bimp05946	GB43463	0.167719665	0.08499881
Bimp12953	GB41900	1.018885021	0.596209026
Bimp10924	GB54714	0.096942839	0.439940393
Bimp11912	GB42405	1.823789846	#N/A
Bimp10308	GB42220	-0.212117681	0.754496271
Bimp12388	GB44021	0.035516421	0.093148219
Bimp05069	GB48416	0.382674519	-0.009850325
Bimp04933	GB50891	0.116538823	1.240149831
Bimp02597	GB49406	1.399375723	-1.01293845
Bimp12858	GB53173	0.7135853	0.236946961
Bimp06683	GB55618	1.021557902	1.534833141
Bimp01009	GB51189	1.299405849	1.269292873
Bimp10833	GB40280	1.452922114	1.215765561
Bimp10950	GB48266	0.28642743	-0.439612432
Bimp07695	GB53570	1.241649482	2.231339328
Bimp09265	GB49026	1.295130482	-0.258511231
Bimp05956	GB43470	-0.04929945	-1.026709201
Bimp02648	GB50246	1.199478479	0.617236652
Bimp11966	GB41423	1.638373391	0.325129487
Bimp05156	GB44429	0.136378207	-0.766252313
Bimp00390	GB50099	0.534862508	0.427300273
Bimp14149	GB41983	0.31039786	-0.570943198
Bimp05011	GB54287	0.652879855	-0.694316695
Bimp13315	GB40204	0.010464445	#N/A
Bimp01166	GB47280	0.485822528	-0.441537927
Bimp03092	GB42892	0.835815052	0.299738167
Bimp12573	GB55770	-0.335489665	-0.67040125
Bimp02636	GB49977	0.90274238	0.231437656
Bimp03898	GB41174	0.517119559	0.119973346
Bimp13278	GB53949	0.069896342	-1.061034637
Bimp07288	GB53083	0.176989575	-0.399065472
Bimp14228	GB47042	0.513799513	1.162654142
Bimp00744	GB54207	0.061348868	-0.623872113
Bimp00388	GB50141	1.57152679	0.584954827
Bimp03901	GB41136	1.084896198	-0.040881263
Bimp08280	GB47449	1.348293131	0.128267925
Bimp08095	GB45943	3.852632074	1.712818814
Bimp13011	GB40994	0.482212364	0.52996304
Bimp09678	GB47182	0.543963849	-0.582116239
Bimp04905	GB46362	1.031763138	0.09311539
Bimp09000	GB50551	-0.889357471	-0.594930611
Bimp10907	GB54780	0.006938281	-0.241745139
Bimp12560	GB55826	1.306437719	-0.208088793
Bimp05869	GB51544	-0.351531017	0.205763551
Bimp08048	GB54354	0.749374559	0.09990182
Bimp12609	GB43074	0.567476388	0.659336633
Bimp00332	GB55225	-0.100454754	2.630356608
Bimp11796	GB44000	-0.041281691	-0.511718219
Bimp05242	GB43908	0.682567574	1.081999581
Bimp12011	GB49391	0.32000068	1.000783891
Bimp01633	GB50997	0.449512209	-0.028981752
Bimp13384	GB55644	-0.345000321	-0.417212892
Bimp00709	GB43270	1.016248266	-0.146397572
Bimp11598	GB47961	1.045317162	1.428845311
Bimp06789	GB49096	1.068569151	-0.283209451
Bimp00684	GB49419	-0.062258841	-0.825294823
Bimp07472	GB44703	0.968703576	-0.511918875
Bimp00952	GB53670	1.482541987	-0.10884145
Bimp04316	GB48097	1.26434326	0.095251543
Bimp13435	GB48101	1.384020231	0.641613367
Bimp04530	GB47779	0.205663166	1.062615809
Bimp10441	GB51130	0.153446529	0.34026145
Bimp09889	GB40676	-0.396466869	-0.100856762
Bimp13224	GB49298	0.754106542	-0.123108498
Bimp13292	GB52082	-0.230015496	-0.796950566
Bimp08468	GB53319	0.089896189	-0.352429145
Bimp05754	GB54987	1.53228274	-0.096200754
Bimp08552	GB50958	0.352445439	-0.195799143
Bimp04617	GB46731	0.116760846	-0.643067993
Bimp12707	GB52165	0.605703275	0.551721454
Bimp12703	GB41494	-0.571005209	0.864248134
Bimp04642	GB42058	1.567020665	1.457528971
Bimp02255	GB46925	0.258429177	0.712877688
Bimp05397	GB55746	1.854478415	1.088219096
Bimp06825	GB49074	0.856224942	0.679918333
Bimp09747	GB55936	0.389803088	-0.301548061
Bimp00542	GB41601	0.562376304	-0.553204344
Bimp07912	GB54537	0.119467165	-0.185944235
Bimp00306	GB55247	0.407342475	0.682098904
Bimp07115	GB45072	0.544034654	1.240736049
Bimp04734	GB42763	-0.003605995	0.346920962
Bimp13383	GB55645	1.023906378	-0.404152155
Bimp00016	GB48775	0.788795533	-0.309163911
Bimp02432	GB44174	0.0808125	0.780143615
Bimp08018	GB40310	0.46971974	-0.023133547
Bimp08863	GB41345	1.274302082	-0.223876594
Bimp11043	GB46618	0.27290727	0.341170695
Bimp10678	GB49480	0.657147779	0.225594173
Bimp09042	GB51717	0.366172012	-0.236008642
Bimp12239	GB44906	0.194034526	-0.780914287
Bimp03935	GB46267	1.138804036	-0.206704254
Bimp13026	GB50959	0.386972392	-0.023231812
Bimp04496	GB53089	0.194629174	-0.530090502
Bimp01386	GB42967	0.021217974	-0.366352131
Bimp07101	GB52192	0.611628458	-0.182008556
Bimp01931	GB55715	0.405435367	-0.11595748
Bimp01360	GB45348	1.424923777	0.219831114
Bimp02089	GB52567	-0.541772203	-0.091757819
Bimp12172	GB52249	0.365023052	-0.062574509
Bimp06134	GB47894	0.208810086	-0.546693881
Bimp12101	GB47970	0.914761008	1.097622097
Bimp13910	GB48532	0.421159791	-0.516189728
Bimp06717	GB50397	-0.150400924	0.01420342
Bimp00732	GB54216	0.056708366	0.203678184
Bimp01343	GB40816	0.183831496	-0.06434225
Bimp11608	GB48102	0.478538362	-0.095494386
Bimp11743	GB53713	0.776206717	0.380262047
Bimp04627	GB46739	-0.053361675	-0.42824728
Bimp01608	GB50837	1.030692504	1.62242634
Bimp10898	GB54773	1.191103348	0.084515099
Bimp01192	GB45091	0.500068497	0.614092563
Bimp03773	GB45259	0.706324587	-0.283621701
Bimp05606	GB45474	0.366075798	1.094089838
Bimp08429	GB49537	1.048190276	-0.25338628
Bimp00105	GB40657	0.599514019	-0.197169283
Bimp05656	GB43212	0.173876825	0.023085409
Bimp09745	GB55913	0.332915149	-0.327451036
Bimp11838	GB42847	0.259127924	-0.197647953
Bimp12849	GB53737	0.205387153	2.284774465
Bimp00804	GB54164	0.710655574	0.365468765
Bimp02940	GB52266	0.19583509	0.677977569
Bimp06285	GB45998	1.238238439	2.459154064
Bimp13968	GB41957	2.199604589	#N/A
Bimp06909	GB49246	0.433890395	-0.365690328
Bimp00515	GB42977	0.217658537	-0.182046754
Bimp05855	GB40014	1.084680355	-0.325991795
Bimp06600	GB55567	-0.032186174	0.084058025
Bimp13980	GB41282	0.476043783	0.31689515
Bimp07094	GB52198	0.728682123	-0.794032528
Bimp11750	GB53657	0.133528943	-0.565148472
Bimp06146	GB53794	1.072324062	0.576137455
Bimp13500	GB44646	0.342129038	0.228244719
Bimp02722	GB50224	0.127112763	-0.465625139
Bimp08917	GB46693	0.551219223	1.327753358
